well,file,sample
A1,188-555-1,188-555-1
A2,194-555-1,194-555-1
A3,194-555-2,194-555-2
A4,194-555-3,194-555-3
A5,188-555-2,188-555-2
A6,251-373-1,251-373-1
A7,251-373-2,251-373-2
A8,251-373-3,251-373-3
A9,188-555-3,188-555-3
B1,NA-blank-1,NA-blank-1
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
B5,NA-156-1,NA-156-1
B6,251-555-1,251-555-1
B7,251-555-2,251-555-2
B8,251-555-3,251-555-3
B9,NA-373-1,NA-373-1
C1,188-555-4,188-555-4
C2,231-555-1,231-555-1
C3,231-555-2,231-555-2
C4,231-555-3,231-555-3
C5,188-555-5,188-555-5
C6,252-373-1,252-373-1
C7,252-373-2,252-373-2
C8,252-373-3,252-373-3
C9,188-555-6,188-555-6
D1,NA-555-1,NA-555-1
D2,231-373-1,231-373-1
D3,231-373-2,231-373-2
D4,231-373-3,231-373-3
D5,NA-blank-2,NA-blank-2
D6,252-555-1,252-555-1
D7,252-555-2,252-555-2
D8,252-555-3,252-555-3
D9,NA-156-2,NA-156-2
E1,188-555-7,188-555-7
E2,240-555-1,240-555-1
E3,240-555-2,240-555-2
E4,240-555-3,240-555-3
E5,188-555-8,188-555-8
E6,254-373-1,254-373-1
E7,254-373-2,254-373-2
E8,254-373-3,254-373-3
E9,188-555-9,188-555-9
F1,NA-373-2,NA-373-2
F2,240-373-1,240-373-1
F3,240-373-2,240-373-2
F4,240-373-3,240-373-3
F5,NA-555-2,NA-555-2
F6,254-555-1,254-555-1
F7,254-555-2,254-555-2
F8,254-555-3,254-555-3
F9,NA-blank-3,NA-blank-3
G1,188-555-10,188-555-10
G2,241-555-1,241-555-1
G3,241-555-2,241-555-2
G4,241-555-3,241-555-3
G5,188-555-11,188-555-11
G6,188-373-1,188-373-1
G7,188-373-2,188-373-2
G8,188-373-3,188-373-3
G9,188-555-12,188-555-12
H1,NA-156-3,NA-156-3
H2,241-373-1,241-373-1
H3,241-373-2,241-373-2
H4,241-373-3,241-373-3
H5,NA-373-3,NA-373-3
H6,NA-blank-4,NA-blank-4
H7,NA-blank-5,NA-blank-5
H8,NA-blank-6,NA-blank-6
H9,NA-555-3,NA-555-3
