well,file,sample
A1,188-555-1,188-555-1
A2,194-555-1,194-555-1
A3,194-555-2,194-555-2
A4,194-555-3,194-555-3
A5,188-555-2,188-555-2
A6,221-373-1,221-373-1
A7,221-373-2,221-373-2
A8,221-373-3,221-373-3
A9,188-555-3,188-555-3
A10,229-555-1,229-555-1
A11,229-555-2,229-555-2
A12,229-555-3,229-555-3
B1,NA-blank-1,NA-blank-1
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
B5,NA-156-1,NA-156-1
B6,221-555-1,221-555-1
B7,221-555-2,221-555-2
B8,221-555-3,221-555-3
B9,NA-373-1,NA-373-1
B10,229-373-1,229-373-1
B11,229-373-2,229-373-2
B12,229-373-3,229-373-3
C1,188-555-4,188-555-4
C2,211-555-1,211-555-1
C3,211-555-2,211-555-2
C4,211-555-3,211-555-3
C5,188-555-5,188-555-5
C6,222-373-1,222-373-1
C7,222-373-2,222-373-2
C8,222-373-3,222-373-3
C9,188-555-6,188-555-6
C10,257-555-1,257-555-1
C11,257-555-2,257-555-2
C12,257-555-3,257-555-3
D1,NA-555-1,NA-555-1
D2,211-373-1,211-373-1
D3,211-373-2,211-373-2
D4,211-373-3,211-373-3
D5,NA-blank-2,NA-blank-2
D6,222-555-1,222-555-1
D7,222-555-2,222-555-2
D8,222-555-3,222-555-3
D9,NA-156-2,NA-156-2
D10,257-373-1,257-373-1
D11,257-373-2,257-373-2
D12,257-373-3,257-373-3
E1,188-555-7,188-555-7
E2,215-555-1,215-555-1
E3,215-555-2,215-555-2
E4,215-555-3,215-555-3
E5,188-555-8,188-555-8
E6,223-373-1,223-373-1
E7,223-373-2,223-373-2
E8,223-373-3,223-373-3
E9,188-555-9,188-555-9
E10,258-555-1,258-555-1
E11,258-555-2,258-555-2
E12,258-555-3,258-555-3
F1,NA-373-2,NA-373-2
F2,215-373-1,215-373-1
F3,215-373-2,215-373-2
F4,215-373-3,215-373-3
F5,NA-555-2,NA-555-2
F6,223-555-1,223-555-1
F7,223-555-2,223-555-2
F8,223-555-3,223-555-3
F9,NA-blank-3,NA-blank-3
F10,258-373-1,258-373-1
F11,258-373-2,258-373-2
F12,258-373-3,258-373-3
G1,188-555-10,188-555-10
G2,220-555-1,220-555-1
G3,220-555-2,220-555-2
G4,220-555-3,220-555-3
G5,188-555-11,188-555-11
G6,224-373-1,224-373-1
G7,224-373-2,224-373-2
G8,224-373-3,224-373-3
G9,188-555-12,188-555-12
G10,188-373-1,188-373-1
G11,188-373-2,188-373-2
G12,188-373-3,188-373-3
H1,NA-156-3,NA-156-3
H2,220-373-1,220-373-1
H3,220-373-2,220-373-2
H4,220-373-3,220-373-3
H5,NA-373-3,NA-373-3
H6,224-555-1,224-555-1
H7,224-555-2,224-555-2
H8,224-555-3,224-555-3
H9,NA-555-3,NA-555-3
H10,217-373-1,217-373-1
H11,217-373-2,217-373-2
H12,217-373-3,217-373-3
